	class	name	lat	lon	address
60	Магазин электроники	BIGtv.ru	55.647476	37.618614	Варшавское ш., 94, Москва, Россия
61	Салон связи	Билайн	55.65943299999999	37.754706	Братиславская ул., 14, Москва, Россия
62	Магазин электроники	Магазин Бытовая электроника	54.603013	39.714573	ул. Гоголя, 42, Рязань, Россия
63	Магазин электроники	Beats by Dre	55.357818	37.521029999999996	ул. Ленина, 22, микрорайон Климовск, Подольск, Россия
64	Салон связи	Samsung	55.72778	37.474187	Славянский бул., вл3, Москва, Россия
65	Салон связи	Билайн	55.97886	37.172123	Привокзальная площадь, 1, Зеленоградский административный округ, Россия
66	Магазин электроники	Цифровой супермаркет DNS	55.758164	37.741309	просп. Будённого, 53, стр. 2, Москва, Россия
67	Магазин электроники	Интернет-магазин Sotiks.net	56.996387	40.977128	просп. Ленина, 7, Иваново, Россия
68	Салон связи	Билайн	54.513763	36.25759	ул. Кирова, 46, Калуга, Россия
69	Магазин электроники	AV interior	55.68263	37.537146	Россия, Москва, Ленинский проспект
70	Салон связи	ПервыйЯблочный.рф	54.629681000000005	39.735754	ул. Кольцова, 1, Рязань, Россия
71	Салон связи	Салон-магазин МТС	54.639217	39.676914000000004	Московское ш., 31А, Рязань, Россия
72	Салон связи	НОУ-ХАУ	55.747891	37.705058	ш. Энтузиастов, 12, корп. 2, Москва, Россия
73	Салон связи	НОУ-ХАУ	55.85091800000001	37.44417	Химкинский бул., вл7-23, Москва, Россия
74	Магазин электроники	DNS TechnoPoint	56.0937	40.351184	Мостостроевская ул., 2, Владимир, Россия
75	Магазин электроники	Capital Mols	56.934672	24.143742	Krasta street, 46, Riga, Latvia
76	Салон связи	Салон-магазин МТС	55.900571	38.06093	Институтская ул., 27Б, микрорайон Щёлково-3, Щёлково, Россия
77	Салон связи	Связной	55.5664	37.483000000000004	ул. Александры Монаховой, вл30с2, посёлок Коммунарка, Россия
78	Магазин электроники	НОУ-ХАУ	55.708754000000006	37.622051	Большая Тульская ул., 13, Москва, Россия
79	Магазин электроники	НОУ-ХАУ	55.439638	37.772749	Привокзальная площадь, 3, Домодедово, Россия
80	Магазин электроники	Супер Хай-Фай	55.762809	37.553864000000004	2-я Звенигородская ул., 13, стр. 15, Москва, Россия
81	Магазин электроники	НОУ-ХАУ	54.898255000000006	38.078806	просп. Победы, 63А, Ступино, Россия
82	Салон связи	Максимус	55.820668000000005	37.498186	Ленинградское ш., 14, Москва, Россия
83	Магазин электроники	Хорошая связь	59.94639599999999	30.475058	Индустриальный просп., 24, Санкт-Петербург, Россия
84	Магазин электроники	Maxrobot.ru	55.671331	37.445814	Озёрная ул., 42, Москва, Россия
85	Магазин электроники	Сатурн	54.985938	82.892099	ул. Ватутина, 19, Новосибирск, Россия
86	Салон связи	Tele2	55.949757999999996	37.299698	ул. Кирова, 3, микрорайон Сходня, Химки, Россия
87	Магазин электроники	Цифровой супермаркет DNS	54.318177	48.397805	ул. Гончарова, 38, Ульяновск, Россия
88	Салон связи	МегаФон	56.964729000000005	40.989627	просп. Строителей, 25, Иваново, Россия
89	Салон связи	НОУ-ХАУ	55.686515	37.899027000000004	Инициативная ул., 7Б, Люберцы, Россия
