stop_id;stop_sequence;route_id;service_id;using_trip_id;using_trip_id__next;stop_id__using_trip_id;stop_id__using_trip_id__next;time
1441;11;845;3105604;845_3105604_10_301;845_3105604_10_301;1441__62;1443__62;2.0
1443;13;845;3105604;845_3105604_10_301;845_3105604_10_301;1443__62;1442__62;-1.0
1442;12;845;3105604;845_3105604_10_301;845_3105604_10_301;1442__62;1130__62;10.0
1130;18;845;3105604;845_3105604_10_301;845_3105604_10_301;1130__62;1131__62;2.0
1131;19;845;3105604;845_3105604_10_301;845_3105604_10_301;1131__62;553__62;1.0
553;20;845;3105604;845_3105604_10_301;845_3105604_10_301;553__62;554__62;2.0
554;21;845;3105604;845_3105604_10_301;845_3105604_10_301;554__62;1556__62;1.0
1556;22;845;3105604;845_3105604_10_301;267_3106454_11_301;1556__62;1654__199;61.0
1654;9;267;3106454;267_3106454_11_301;267_3106454_11_301;1654__199;649__199;2.0
649;10;267;3106454;267_3106454_11_301;267_3106454_11_301;649__199;1689__199;2.0
1689;11;267;3106454;267_3106454_11_301;267_3106454_10_704;1689__199;915__199;234.0
915;21;267;3106454;267_3106454_10_704;267_3106454_11_301;915__199;16180__199;-240.0
16180;8;267;3106454;267_3106454_11_301;267_3106454_10_704;16180__199;1168__199;217.0
1168;10;267;3106454;267_3106454_10_704;267_3106454_11_301;1168__199;1163__199;-201.0
1163;15;267;3106454;267_3106454_11_301;267_3106454_11_301;1163__199;1162__199;-2.0
1162;14;267;3106454;267_3106454_11_301;267_3106454_10_704;1162__199;16178__199;219.0
16178;17;267;3106454;267_3106454_10_704;267_3106454_10_704;16178__199;1177__199;2.0
1177;18;267;3106454;267_3106454_10_704;267_3106454_10_704;1177__199;1178__199;2.0
1178;19;267;3106454;267_3106454_10_704;267_3106454_10_704;1178__199;13399__199;-11.0
13399;13;267;3106454;267_3106454_10_704;267_3106454_10_704;13399__199;670__199;2.0
670;14;267;3106454;267_3106454_10_704;267_3106454_10_704;670__199;671__199;1.0
671;15;267;3106454;267_3106454_10_704;267_3106454_10_704;671__199;648__199;1.0
648;16;267;3106454;267_3106454_10_704;267_3106454_10_704;648__199;1179__199;8.0
1179;20;267;3106454;267_3106454_10_704;267_3106454_10_704;1179__199;1687__199;-18.0
1687;11;267;3106454;267_3106454_10_704;267_3106454_10_704;1687__199;1688__199;2.0
1688;12;267;3106454;267_3106454_10_704;267_3106454_11_301;1688__199;1493__199;-178.0
1493;30;267;3106454;267_3106454_11_301;267_3106454_10_704;1493__199;1001517__199;197.0
1001517;22;267;3106454;267_3106454_10_704;267_3106454_10_704;1001517__199;8804__199;-30.0
8804;7;267;3106454;267_3106454_10_704;267_3106454_10_704;8804__199;1686__199;3.0
1686;8;267;3106454;267_3106454_10_704;267_3106454_10_704;1686__199;10137__199;1.0
10137;9;267;3106454;267_3106454_10_704;267_3106454_11_301;10137__199;1692__199;-196.0
