trip_id;short_name
141500227_1_10_1;451
141500016_1_10_1;432
141500016_1_11_1;432
141500232_1_11_1;466
141500232_1_10_1;466
141500191_1_10_5;294
141500293_1_10_3;с977
141500293_1_10_1;с977
141500181_1_11_1;215
141500181_1_10_1;215
141500169_1_10_1;100
141500169_1_10_10;100
141500300_1_10_2;314
141500300_1_10_1;314
141500300_1_10_3;314
141500158_1_10_1;26
141500163_1_10_1;63
141500327_1_1_1;464
141500285_1_10_2;787
141500285_1_10_1;787
141500241_1_10_1;502
141500206_1_1_1;352
141500189_1_10_1;282
141500189_1_10_10;282
141500188_1_10_1;270
141500188_1_10_9;270
141500180_1_10_1;206
141500015_1_10_1;с321
141500012_1_10_1;376
141500183_1_10_1;236
141500183_1_10_2;236
463_3101332_11_301;686
463_3101332_10_301;686
463_3101332_1_301;686
113_3105962_15_701;847
113_3105962_16_701;847
113_3105962_11_701;847
113_3105962_10_701;847
390_3113361_11_301;769
390_3113361_10_705;769
390_3113361_10_301;769
390_3113361_11_707;769
390_3113361_10_707;769
788_3102393_10_301;813
788_3102393_11_301;813
951_3102367_11_301;З-8
951_3102367_10_301;З-8
702_3102394_11_201;18
702_3102394_10_201;18
1215_3102408_11_601;З-27
1215_3102408_10_601;З-27
828_3109851_10_302;68
828_3109851_10_301;68
828_3109851_1_703;68
828_3109851_16_703;68
509_3109721_10_702;235
509_3109721_10_301;235
509_3109721_1_301;235
509_3109721_1_702;235
453_3113431_11_201;9
453_3113431_10_201;9
721_3112782_10_201;90
721_3112782_10_209;90
104_3113324_10_704;135
104_3113324_10_301;135
104_3113324_11_703;135
104_3113324_10_302;135
777_3112849_10_301;685
777_3112849_10_303;685
1292_3110752_10_701;С2
1292_3110752_11_701;С2
1292_3110752_1_701;С2
265_3106187_11_301;173
265_3106187_10_301;173
344_3106949_11_701;262
344_3106949_10_701;262
111_3106615_10_701;207
789_3109725_10_301;198
789_3109725_10_302;198
286_3111516_10_701;681
286_3111516_10_703;681
848_3109780_11_205;92
848_3109780_10_205;92
1330_3113565_11_301;892
1330_3113565_1_301;892
1330_3113565_10_301;892
836_3115392_10_305;716
836_3115392_12_302;716
836_3115392_10_302;716
836_3115392_10_307;716
836_3115392_10_301;716
836_3115392_5_305;716
2046_3104410_11_301;Т39К
2046_3104410_10_301;Т39К
2048_3113888_1_107;Н12
2048_3113888_1_104;Н12
2048_3113888_4_701;Н12
2048_3113888_2_702;Н12
2048_3113888_2_104;Н12
2048_3113888_2_701;Н12
1986_3110195_11_701;Sk1
1986_3110195_10_701;Sk1
1209_3115249_11_302;231
1209_3115249_11_201;231
1209_3115249_11_303;231
1209_3115249_10_201;231
1209_3115249_10_302;231
1209_3115249_12_302;231
1941_3114556_11_704;991
1941_3114556_11_201;991
1706_3112218_11_201;928
1706_3112218_10_203;928
1706_3112218_10_201;928
407_3110992_10_201;2
407_3110992_10_203;2
436_3113307_10_201;4П
746_3110448_10_301;86
746_3110448_10_303;86
166_3111347_10_301;654
166_3111347_10_704;654
290_3105615_11_301;817
290_3105615_10_301;817
970_3112171_11_201;23
970_3112171_10_201;23
819_3112787_10_301;45
604_3106331_1_701;513
604_3106331_2_701;513
428_3107535_10_201;4Л
400_3113360_10_301;648
400_3113360_10_704;648
776_3112788_10_301;16
1080_3111286_11_201;С1
1080_3111286_10_201;С1
148_3105813_10_301;268
148_3105813_10_302;268
1981_3112915_10_302;О24
1981_3112915_10_301;О24
1981_3112915_10_306;О24
