id	stop_id	lat	lon	x	y	stop_name	info	source_name
47	3822	55.58898692	37.61070682	6188137.717648345	4524576.7733653085	Центр детского творчества «Виктория»	Центр детского творчества «Виктория»	data.mos
48	3895	55.80378443	37.75854367	6212048.867085208	4545372.061085735	37-й квартал Измайлова	37-й квартал Измайлова	data.mos
49	3926	55.81750915	37.74323705	6213576.695926889	4543217.048911305	Плодоовощной комбинат	Плодоовощной комбинат	data.mos
50	3897	55.80127436	37.7447977	6211769.447370953	4543436.751719339	Метро «Черкизовская»	Метро «Черкизовская»	data.mos
51	3931	55.75676676	37.74242292	6206814.884002522	4543102.440397109	Просп. Буденного	Просп. Буденного	data.mos
52	3902	55.79570127	37.71285109	6211149.053830008	4538940.343221317	Метро «Преображенская пл.»	Метро «Преображенская пл.»	data.mos
53	3789	55.73564882	37.65666735	6204464.045675119	4531037.316738796	Ул. Гвоздева	Ул. Гвоздева	data.mos
54	3932	55.7585579298	37.7525362095	6207014.276112583	4544526.220265623	Метро «Ш. Энтузиастов»	Метро «Ш. Энтузиастов»	data.mos
55	3792	55.73908464	37.65331306	6204846.519407976	4530565.678344646	Метро «Таганская»	Метро «Таганская»	data.mos
56	3909	55.80218456	37.757599	6211870.770371472	4545239.048511108	Сиреневый бульв., 4	Сиреневый бульв., 4	data.mos
57	3937	55.76271149	37.77334214	6207476.6483190255	4547455.95503298	К/т «Слава»	К/т «Слава»	data.mos
58	3911	55.80217882	37.77543318	6211870.131397596	4547750.445155572	Никитинская ул.	Никитинская ул.	data.mos
59	3938	55.75935534	37.75667589	6207103.043409999	4545109.0732946275	Ул. Плеханова	Ул. Плеханова	data.mos
60	3912	55.8022689	37.78401125	6211880.159057326	4548958.61868921	3-я Парковая ул.	3-я Парковая ул.	data.mos
61	3793	55.7355263	37.65614072	6204450.406811107	4530963.26719122	Ул. Гвоздева	Ул. Гвоздева	data.mos
62	3785	55.67942535	37.66477936	6198205.277624088	4532178.0144195715	Метро «Коломенская»	Метро «Коломенская»	data.mos
63	3913	55.80239071	37.78876413	6211893.7188845	4549628.095820891	Управа района Северное Измайлово	Управа района Северное Измайлово	data.mos
64	3853	55.79540062	37.70819217	6211115.585625101	4538284.773449498	Преображенская пл.	Преображенская пл.	data.mos
65	3914	55.803099	37.79333608	6211972.565366634	4550272.128302233	7-я Парковая ул.	7-я Парковая ул.	data.mos
66	3915	55.8025205472	37.799498078	6211908.172295489	4551140.207602806	Районный центр «София»	Районный центр «София»	data.mos
67	3916	55.80258572	37.80340309	6211915.4272984	4551690.368619171	11-я Парковая ул.	11-я Парковая ул.	data.mos
68	3883	55.62376143	37.60928434	6192008.798394131	4524376.883047411	Метро «Южная»	Метро «Южная»	data.mos
69	3917	55.80268962	37.81293139	6211926.993393493	4553032.8935583625	13-я Парковая ул.	13-я Парковая ул.	data.mos
70	3888	55.80316028	37.79785239	6211979.387025029	4550908.362127177	Районный центр «София»	Районный центр «София»	data.mos
71	3918	55.80277245	37.81940145	6211936.213986915	4553944.615274356	Сиреневый бульв.	Сиреневый бульв.	data.mos
72	3889	55.80241271	37.79495385	6211896.167913297	4550500.026697928	7-я Парковая ул.	7-я Парковая ул.	data.mos
73	3922	55.82659032	37.76629688	6214587.607147096	4546463.802178671	Открытое ш., 26	Открытое ш., 26	data.mos
74	3794	55.72292752	37.6633683	6203047.91703689	4531979.584496928	Шарикоподшипниковская ул.	Шарикоподшипниковская ул.	data.mos
75	3795	55.71682013	37.66380088	6202368.045492015	4532040.415538972	13-я гор. б-ца	13-я гор. б-ца	data.mos
76	3797	55.67546205	37.68773487	6197764.085086227	4535406.656717263	Диспансер	Диспансер	data.mos
77	3799	55.67608251	37.69777275	6197833.154377485	4536818.776608502	Школа	Школа	data.mos
78	3800	55.6784418901	37.7046694386	6198095.799368804	4537789.107341312	Библиотека им. Симонова	Библиотека им. Симонова	data.mos
79	3787	55.71833839	37.66393432	6202537.057422107	4532059.18044997	13-я гор. б-ца	13-я гор. б-ца	data.mos
80	3784	55.67523615	37.69381412	6197738.938013257	4536261.857287145	Коломенская наб.	Коломенская наб.	data.mos
81	4072	55.793198	37.8051935	6210870.391088289	4551942.621817024	К/т «Первомайский»	К/т «Первомайский»	data.mos
82	4073	55.79333234	37.79989628	6210885.3457486825	4551196.307306602	Метро «Первомайская»	Метро «Первомайская»	data.mos
83	4076	55.75282419	37.80753529	6206375.999117705	4552272.56889222	Зеленый просп., 65	Зеленый просп., 65	data.mos
84	3975	55.77856544	37.66459734	6209241.501960088	4532152.4176954515	Метро «Красносельская»	Метро «Красносельская»	data.mos
85	4077	55.75204273	37.81296254	6206289.00738843	4553037.282836508	Метро «Новогиреево»	Метро «Новогиреево»	data.mos
86	4078	55.75133023	37.81815909	6206209.69225124	4553769.543219718	Метро «Новогиреево»	Метро «Новогиреево»	data.mos
87	3976	55.7806512	37.66896911	6209473.687701205	4532767.219085614	Краснопрудная ул.	Краснопрудная ул.	data.mos
88	4079	55.79073797	37.66054062	6210596.541801354	4531581.954131008	Ф-ка «Буревестник»	Ф-ка «Буревестник»	data.mos
89	4083	55.74758664	37.66871308	6205792.9577187	4532731.212624987	Костомаровский мост	Костомаровский мост	data.mos
90	3977	55.78229457	37.67203621	6209656.62681279	4533198.566537084	Леснорядская ул.	Леснорядская ул.	data.mos
91	4084	55.75108511	37.6655924	6206182.405617656	4532292.349657873	Д/к Метростроя	Д/к Метростроя	data.mos
92	3978	55.79499915	37.70972651	6211070.894189131	4538500.67020623	Преображенская пл.	Преображенская пл.	data.mos
93	4086	55.76417304	37.65717878	6207639.347320794	4531109.229514097	Пл. Земляной Вал	Пл. Земляной Вал	data.mos
94	4087	55.76553704	37.661022	6207791.187106236	4531649.645058073	Сад им. Баумана	Сад им. Баумана	data.mos
95	4088	55.76697306	37.6648434	6207951.044121405	4532187.020116364	Сервисный центр «Московский Транспорт» - Ул. Александра Лукьянова	Сервисный центр «Московский Транспорт» - Ул. Александра Лукьянова	data.mos
96	3980	55.804173	37.75783557	6212092.122499745	4545272.35816864	37-й квартал Измайлова	37-й квартал Измайлова	data.mos
97	4089	55.76932953	37.66947005	6208213.365161875	4532837.668518785	Пл. Разгуляй	Пл. Разгуляй	data.mos
98	4090	55.77536176	37.65733149	6208884.869933823	4531130.702343284	Метро «Комсомольская»	Метро «Комсомольская»	data.mos
99	3983	55.8089984790781	37.7780689963314	6212629.292373553	4548121.670330376	Монтажная ул.	Монтажная ул.	data.mos
100	4092	55.7869912	37.67282824	6210179.4532728335	4533309.958081324	Ул. Шумкина, 26	Ул. Шумкина, 26	data.mos
101	4093	55.78822453	37.66983643	6210316.7469404135	4532889.194478282	Москва - 2 - тов.	Москва - 2 - тов.	data.mos
102	3991	55.81484581	37.82896334	6213280.214274279	4555292.165309118	Хабаровская ул., 4	Хабаровская ул., 4	data.mos
103	4094	55.78899652	37.66455016	6210402.684474112	4532145.782976303	Ул. Лобачика	Ул. Лобачика	data.mos
104	3992	55.81692733	37.8272529	6213511.928020755	4555051.101451093	Байкальская ул.	Байкальская ул.	data.mos
105	4096	55.82475485	37.82475659	6214383.283561328	4554699.289655821	Хабаровская ул., 20	Хабаровская ул., 20	data.mos
106	4016	55.78555024	37.67574847	6210019.046339381	4533720.671142968	Маленковская ул.	Маленковская ул.	data.mos
107	4001	55.80780154	37.8180954	6212496.0497248685	4553760.568171812	15-я Парковая ул.	15-я Парковая ул.	data.mos
108	3961	55.64342003	37.6382478	6194197.183735839	4528447.652181641	2-й Котляковский переулок	2-й Котляковский переулок	data.mos
109	4018	55.76921469	37.66865041	6208200.581231552	4532722.3991264	Пл. Разгуляй	Пл. Разгуляй	data.mos
110	4002	55.81054678	37.81670981	6212801.648443774	4553565.315941425	Щелковское ш.	Щелковское ш.	data.mos
111	4019	55.76682881	37.66379647	6207934.986284859	4532039.79538624	Сервисный центр «Московский Транспорт» - Улица Александра Лукьянова	Сервисный центр «Московский Транспорт» - Улица Александра Лукьянова	data.mos
112	3962	55.64470544	37.64083026	6194340.2749225	4528810.689943397	Котляковская улица	Котляковская улица	data.mos
113	4004	55.8085393252393	37.7748392791268	6212578.179602022	4547666.802704069	Монтажная ул.	Монтажная ул.	data.mos
114	4020	55.76536253	37.65978591	6207771.760741898	4531475.8288365295	Сад им. Баумана	Сад им. Баумана	data.mos
115	3965	55.81460781	37.8280948	6213253.72023547	4555169.755404267	Хабаровская ул., 4	Хабаровская ул., 4	data.mos
116	3945	55.82058032	37.7507949	6213918.577007428	4544281.059514217	Тагильская ул.	Тагильская ул.	data.mos
117	4022	55.75172265	37.6646009	6206253.376245816	4532152.918323012	Д/к Метростроя	Д/к Метростроя	data.mos
118	4056	55.66804404	37.64823199	6196938.315990327	4529851.282275993	Ул. Акад. Миллионщикова, 23	Ул. Акад. Миллионщикова, 23	data.mos
119	3946	55.82273816	37.75508015	6214158.7866574405	4544884.394631	Консультативно-диагностический центр	Консультативно-диагностический центр	data.mos
120	4023	55.74743967	37.66818615	6205776.597093139	4532657.108870658	Костомаровский мост	Костомаровский мост	data.mos
121	4057	55.670338051	37.6494295343	6197193.684126722	4530019.652042856	Ул. Акад. Миллионщикова, 13	Ул. Акад. Миллионщикова, 13	data.mos
122	3948	55.82717052	37.76365738	6214652.1947156545	4546092.1173886955	Детские ясли-сад	Детские ясли-сад	data.mos
123	4026	55.6771319	37.56431892	6197949.971937928	4518060.202899227	Метро «Профсоюзная»	Метро «Профсоюзная»	data.mos
124	4059	55.67481981	37.65477804	6197692.59125646	4530771.662926901	Улица Академика Миллионщикова	Улица Академика Миллионщикова	data.mos
125	4006	55.80529262	37.76185647	6212216.7580280285	4545838.527405016	Сиреневый сад	Сиреневый сад	data.mos
126	4031	55.66031803	37.58869032	6196078.260491264	4521483.389912647	Болотниковская ул., 35	Болотниковская ул., 35	data.mos
127	4060	55.6729802	37.65800635	6197487.806808002	4531225.596156844	Школа самбо	Школа самбо	data.mos
128	3972	55.80996747	37.78398802	6212737.1599495625	4548955.346683345	3-я Парковая ул.	3-я Парковая ул.	data.mos
129	4008	55.80528901	37.76433166	6212216.356164666	4546187.065784415	Сиреневый сад	Сиреневый сад	data.mos
130	4032	55.65775304	37.59538996	6195792.727110574	4522424.6122864	МФЦ Зюзино	МФЦ Зюзино	data.mos
131	4061	55.67202048	37.66186731	6197380.971266298	4531768.512333099	Проспект Андропова, 42	Проспект Андропова, 42	data.mos
132	4062	55.6692614	37.66124841	6197073.8318856405	4531681.48264139	Коломенский проезд - Музей «Коломенское»	Коломенский проезд - Музей «Коломенское»	data.mos
133	4033	55.65598083	37.59810619	6195595.445595795	4522806.235507143	Поликлиника	Поликлиника	data.mos
134	4063	55.6723714	37.66319533	6197420.035502007	4531955.260897999	Проспект Андропова, 42	Проспект Андропова, 42	data.mos
135	4035	55.64763684	37.59836188	6194666.596877811	4522842.160001756	Азовская ул., 35	Азовская ул., 35	data.mos
136	4066	55.75344912	37.79868348	6206445.566007086	4551025.445920651	Новогиреевская ул., 37	Новогиреевская ул., 37	data.mos
137	4036	55.64387078	37.5944741	6194247.360996314	4522295.939488834	Школа № 536	Школа № 536	data.mos
138	4067	55.75833973	37.78840046	6206989.986221955	4549576.868779845	Ул. Металлургов	Ул. Металлургов	data.mos
139	4037	55.63935559	37.60230792	6193744.73234468	4523396.595042841	Чертановский пруд	Чертановский пруд	data.mos
140	4014	55.78780647	37.67022664	6210270.208714093	4532944.072056601	Москва - 2 - тов.	Москва - 2 - тов.	data.mos
141	4038	55.64370888	37.59475958	6194229.338370754	4522336.047534453	Школа № 536	Школа № 536	data.mos
142	4015	55.78723151	37.67455039	6210206.204459666	4533552.166328215	Ул. Шумкина, 26	Ул. Шумкина, 26	data.mos
143	4070	55.79339619	37.80597939	6210892.45349817	4552053.348814468	К/т «Первомайский»	К/т «Первомайский»	data.mos
144	4039	55.64755338	37.59862932	6194657.306153109	4522879.735505742	Азовская ул., 35	Азовская ул., 35	data.mos
145	3944	55.81762039	37.74323141	6213589.079107044	4543216.254940379	Плодоовощной комбинат	Плодоовощной комбинат	data.mos
146	4040	55.65176343	37.59856808	6195125.966775324	4522871.131231689	Метро «Севастопольская»	Метро «Севастопольская»	data.mos
147	4238	55.67848646	37.5949708	6198100.760867377	4522365.72264188	Ул. Ремизова	Ул. Ремизова	data.mos
148	4248	55.6750160666	37.5906384884	6197714.438441237	4521757.076431904	К/т «Таллин»	К/т «Таллин»	data.mos
149	4042	55.65705717	37.59772679	6195715.263216516	4522752.929961023	Поликлиника	Поликлиника	data.mos
150	4250	55.66249636	37.59804639	6196320.751077644	4522797.833613351	Одесская ул.	Одесская ул.	data.mos
151	4043	55.65891864	37.59299848	6195922.481109044	4522088.62712382	Одесская ул.	Одесская ул.	data.mos
152	4251	55.64498635	37.60024228	6194371.545680659	4523106.360359156	Черноморский бульв., 17	Черноморский бульв., 17	data.mos
153	4050	55.67315429	37.65796175	6197507.186418154	4531219.32480864	Школа самбо	Школа самбо	data.mos
154	4051	55.6707452857	37.6545296554	6197239.017286159	4530736.738342808	Интернат	Интернат	data.mos
155	4252	55.64468747	37.60626059	6194338.274511251	4523951.991110095	Симферопольский бульв.	Симферопольский бульв.	data.mos
156	4052	55.66809569	37.65542903	6196944.065642027	4530863.197155228	Коломенский пр.	Коломенский пр.	data.mos
157	4116	55.82429743	37.82515812	6214332.36379985	4554755.877573681	Хабаровская ул., 20	Хабаровская ул., 20	data.mos
158	13454	55.75738405	37.59379993	6206883.600410993	4522201.2236882	Ножовый пер.	Ножовый пер.	data.mos
159	4121	55.8230278	37.80240199	6214191.029234755	4551549.3250012435	Уральская ул., 23	Уральская ул., 23	data.mos
160	4053	55.66565411	37.64661639	6196672.270199696	4529624.139911561	Электромеханический колледж	Электромеханический колледж	data.mos
161	4125	55.79891014	37.79900687	6211506.263604429	4551071.005395379	Верхняя Первомайская ул.	Верхняя Первомайская ул.	data.mos
162	4054	55.664438199	37.6405731274	6196536.915606326	4528774.542121372	Больница им. Юдина	Больница им. Юдина	data.mos
163	4126	55.79702218	37.79321497	6211296.096858591	4550255.0675025545	7-я Парковая ул.	7-я Парковая ул.	data.mos
164	4055	55.6661783707	37.6497491494	6196730.630633864	4530064.5890606595	Коломенский пр., 8	Коломенский пр., 8	data.mos
165	4128	55.7969154	37.78390659	6211284.210163364	4548943.8770643575	3-я Парковая ул.	3-я Парковая ул.	data.mos
166	4129	55.795555045055	37.7824338238505	6211132.776143589	4548736.436452965	1-я Прядильная ул.	1-я Прядильная ул.	data.mos
167	4130	55.79231927	37.78310985	6210772.571312144	4548831.654911075	Первомайская ул.	Первомайская ул.	data.mos
168	4131	55.79627069	37.7846629	6211212.441374455	4549050.405704191	3-я Парковая ул.	3-я Парковая ул.	data.mos
169	4132	55.7963304	37.78855985	6211219.08826125	4549599.320636711	5-я Парковая ул.	5-я Парковая ул.	data.mos
170	4133	55.79641061	37.79444659	6211228.017197607	4550428.56746143	7-я Парковая ул.	7-я Парковая ул.	data.mos
171	4166	55.77396007	37.67832873	6208728.834516773	4534083.582888419	Бакунинская улица	Бакунинская улица	data.mos
172	4134	55.79760594	37.79940346	6211361.080724536	4551126.877624386	Измайловский бульв.	Измайловский бульв.	data.mos
173	4102	55.82086349	37.79812225	6213950.099347636	4550946.379805744	Уральская ул., 19	Уральская ул., 19	data.mos
174	4135	55.79958172	37.79934385	6211581.023548056	4551118.479653766	Верхняя Первомайская ул.	Верхняя Первомайская ул.	data.mos
175	4142	55.8004352	37.81877639	6211676.032507058	4553856.53211324	15-я Парковая ул., 24	15-я Парковая ул., 24	data.mos
176	4143	55.79734079	37.81755038	6211331.564361553	4553683.765527103	Управа района Восточное Измайлово	Управа района Восточное Измайлово	data.mos
177	4144	55.7973014523	37.8135029913	6211327.18530882	4553113.436938053	Моск. театр Теней	Моск. театр Теней	data.mos
178	4171	55.77916302	37.64603024	6209308.024261395	4529541.73243226	Пантелеевская ул.	Пантелеевская ул.	data.mos
