id;lat;lon;x;y;source_name;info;station_name;exit_name
339;55.7730522;37.6319533;4189169.878912251;7513368.788125577;data.mos;Нет информации;Сухаревская;Сухаревская, вход-выход 2 в вестибюль
343;55.7818013;37.6332921;4189318.913446525;7515100.526132782;data.mos;Нет информации;Проспект Мира;Проспект Мира, выход 1 из вестибюля
345;55.7923792;37.6359861;4189618.8081547217;7517194.763844473;data.mos;Нет информации;Рижская;Рижская, выход из вестибюля
347;55.8077181;37.6385304;4189902.0383351473;7520232.606209498;data.mos;Нет информации;Алексеевская;Алексеевская, выход из вестибюля
353;55.8223092;37.641681;4190252.7615228407;7523123.459219937;data.mos;Нет информации;ВДНХ;ВДНХ, выход из северного вестибюля
355;55.8438661;37.6377148;4189811.246158456;7527396.391991626;data.mos;Нет информации;Ботанический сад;Ботанический сад, выход из южного вестибюля
358;55.846664;37.6393029;4189988.032641785;7527951.1555785015;data.mos;Нет информации;Ботанический сад;Ботанический сад, вход-выход 3 в северный вестибюль
222;55.7506879;37.785092;4206217.201016994;7508943.9150588745;data.mos;Нет информации;Перово;Перово, вход-выход 6 в западный вестибюль
225;55.752147;37.815213;4209570.255399179;7509232.526908134;data.mos;Нет информации;Новогиреево;Новогиреево, вход-выход 1 в западный вестибюль
227;55.7518282;37.8143874;4209478.35002758;7509169.466938051;data.mos;Нет информации;Новогиреево;Новогиреево, вход-выход 3 в западный вестибюль
230;55.751609;37.8188234;4209972.1632887395;7509126.108562514;data.mos;Нет информации;Новогиреево;Новогиреево, вход-выход 2 в восточный вестибюль
231;55.7513073;37.8181855;4209901.152585562;7509066.431853752;data.mos;Нет информации;Новогиреево;Новогиреево, вход-выход 3 в восточный вестибюль
249;55.6178525;37.5082986;4175404.700674056;7482714.003585321;data.mos;Нет информации;Тёплый стан;Тёплый стан, вход-выход 2 в южный вестибюль
250;55.6174952;37.5078859;4175358.759120205;7482643.5704762;data.mos;Нет информации;Тёплый стан;Тёплый стан, вход-выход 3 в южный вестибюль
251;55.6173485;37.5083041;4175405.312931255;7482614.652282263;data.mos;Нет информации;Тёплый стан;Тёплый стан, вход-выход 4 в южный вестибюль
255;55.620127;37.5054604;4175088.7536952863;7483162.381654123;data.mos;Нет информации;Тёплый стан;Тёплый стан, вход-выход 4 в северный вестибюль
257;55.6319047;37.5191258;4176609.9790647724;7485484.566346933;data.mos;Нет информации;Коньково;Коньково, вход-выход 1 в южный вестибюль
260;55.6321937;37.5178067;4176463.1375244674;7485541.556650649;data.mos;Нет информации;Коньково;Коньково, вход-выход 4 в южный вестибюль
263;55.6341265;37.5191636;4176614.1869415245;7485922.712297749;data.mos;Нет информации;Коньково;Коньково, вход-выход 3 в северный вестибюль
266;55.6347764;37.5193886;4176639.233826953;7486050.879319309;data.mos;Нет информации;Коньково;Коньково, вход-выход 6 в северный вестибюль
268;55.64166;37.5252102;4177287.2913745553;7487408.527173225;data.mos;Нет информации;Беляево;Беляево, вход-выход 2 в южный вестибюль
270;55.6417111;37.5259728;4177372.183618234;7487418.606484367;data.mos;Нет информации;Беляево;Беляево, вход-выход 4 в южный вестибюль
272;55.6436215;37.526597;4177441.669244388;7487795.4361937;data.mos;Нет информации;Беляево;Беляево, вход-выход 2 в северный вестибюль
274;55.6436769;37.5273536;4177525.8935711216;7487806.364213897;data.mos;Нет информации;Беляево;Беляево, вход-выход 4 в северный вестибюль
283;55.6576866;37.541689;4179121.7029994396;7490570.367495001;data.mos;Нет информации;Калужская;Калужская, вход-выход 3 в северный вестибюль
287;55.669269;37.5539665;4180488.428047654;7492856.2306800885;data.mos;Нет информации;Новые Черёмушки;Новые Черёмушки, вход-выход 3 в южный вестибюль
289;55.6710722;37.5551472;4180619.862970434;7493212.164982763;data.mos;Нет информации;Новые Черёмушки;Новые Черёмушки, вход-выход 2 в северный вестибюль
389;55.77942;37.6010664;4185731.5649320683;7514629.149118075;data.mos;Нет информации;Новослободская;Новослободская, выход из вестибюля
391;55.729146;37.610957;4186832.5814877083;7504684.155263257;data.mos;Нет информации;Октябрьская;Октябрьская, выход 1 из вестибюля кольцевой линии
393;55.7797496;37.633592;4189352.2981618135;7514694.391537718;data.mos;Нет информации;Проспект Мира;Проспект Мира, выход 2 из вестибюля
276;55.6564207;37.539179;4178842.291077548;7490320.574765798;data.mos;Нет информации;Калужская;Калужская, вход-выход 2 в южный вестибюль
278;55.6561196;37.5400104;4178934.8421021937;7490261.161632465;data.mos;Нет информации;Калужская;Калужская, вход-выход 4 в южный вестибюль
282;55.6579916;37.5408091;4179023.7529794904;7490630.5525894305;data.mos;Нет информации;Калужская;Калужская, вход-выход 2 в северный вестибюль
360;55.8546056;37.65118;4191310.1853658855;7529526.0221650805;data.mos;Нет информации;Свиблово;Свиблово, вход-выход 2 в южный вестибюль
365;55.868448;37.663208;4192649.1362011475;7532271.822147462;data.mos;Нет информации;Бабушкинская;Бабушкинская, вход-выход 2 в южный вестибюль
367;55.8707105;37.6643751;4192779.057178852;7532720.708208149;data.mos;Нет информации;Бабушкинская;Бабушкинская, вход-выход 2 в северный вестибюль
369;55.870572;37.665231;4192874.3355310224;7532693.22868571;data.mos;Нет информации;Бабушкинская;Бабушкинская, вход-выход 4 в северный вестибюль
